address,name,area,confidence,first_call_site,call_count,pseudocode_lines,warning_count,pseudocode_sha256,evidence
0x0010c094,snes_p16_0010c094,frontend-core,medium,0x0010ddb4,1,29,1,a51d5f9f1a69ac9ce06e8eb49cec4a20d2a33acd2264fb9a1e8d8d56dbc49605,complete short R5900 decompile; absolute-global label overlap reviewed
0x0010c1f8,snes_p16_0010c1f8,frontend-core,medium,0x0010d9f4,1,22,2,32b56f3ad65770f5d12b43c48194d3ab29a5744077be8fe73ce0921eb6f08b32,complete short R5900 decompile; unreachable compiler block and global-label overlap reviewed
0x0010c340,snes_p16_0010c340,frontend-core,medium-high,0x0010d76c,1,173,0,0af33014773ad10d81ca47f4f5d4ab258fb0e6cbb4476d128449cb81192e7e87,complete R5900 structural decompile
0x0010c6f8,snes_p16_0010c6f8,frontend-core,medium-high,0x0010d784,1,220,0,779834a4edbb0e4e82e8d712ec068f606bf87e4acc96b8cf1a54a14785528215,complete R5900 structural decompile
0x0010d2a8,snes_p16_0010d2a8,frontend-core,medium-high,0x0010d7cc,1,116,0,9ca425ca226c3ff6d96a173e0c7c5289d3a707aae8f26b6c1a0c8d410f7c5c89,complete R5900 structural decompile
0x0010d4f0,snes_p16_0010d4f0,frontend-core,medium-high,0x0010d7bc,1,97,0,16ca39693433f60c6cc4442e2c9414ffa1c59f4e12307d2354938956be662dba,complete R5900 structural decompile
0x0010d734,snes_p16_0010d734,frontend-core,medium,0x0010d8d0,1,12,2,ef5f9a0c4db9be17993f303397e30f111aefb75910f8bedec9f4847aa29be951,complete short R5900 decompile; indirect jump-table lowering reviewed
0x00114544,snes_p16_00114544,snes-core-dsp,medium-high,0x001519ec,1,37,0,48259e7369031ed8a9a9fe86cef7e8a46ae53921e74110850983506471853087,complete R5900 structural decompile
0x00114818,snes_p16_00114818,snes-core-dsp,medium-high,0x0015066c,1,932,0,7569dd0a41ca48acd30999312a28c8f8621d4c9900ca33eadb2f28ce40ebd48d,complete R5900 structural decompile
0x00115b58,snes_p16_00115b58,snes-core-dsp,medium-high,0x00105390,6,33,0,0a44bdbb4ed11ef5dbb1f7301583c62e09b5eb531d13afd8a661349e61fcabcf,complete R5900 structural decompile
0x00115db0,snes_p16_00115db0,snes-core-dsp,medium-high,0x00105520,1,81,0,efecf6b6ce5d43d00fa483f4b5fc59dcb9f82377b78ff379b3f0759c5cea3732,complete R5900 structural decompile
0x001161a8,snes_p16_001161a8,snes-core-dsp,medium-high,0x00115f2c,2,125,0,a1e59c2c08470222cd97e296f5fdff95365fc70d343a9acd99b8b80d3acd9be0,complete R5900 structural decompile
0x00127b78,snes_p16_00127b78,snes-core-dsp,medium-high,0x00116074,1,63,0,acf9da0d6cb5d004c13b5cd3bddaafb4c1543cf9c79d05a7f0ff31648e126545,complete R5900 structural decompile
0x00127e00,snes_p16_00127e00,snes-core-dsp,medium-high,0x00115e38,1,63,0,88e4326aa5fbd8f8aee122dafe7026163bb1f52b30e73239a5699267b830dca8,complete R5900 structural decompile
0x00129250,snes_p16_00129250,snes-core-dsp,medium-high,0x00116774,15,42,0,d67ee7bbf99ca58972be66b564a466d5fab124022dedbbaf36f4e430b7e2354e,complete R5900 structural decompile
0x0012b3e8,snes_p16_0012b3e8,snes-core-dsp,medium-high,0x00116410,1,30,0,6c0bb600fa5bc45929339d13336c9061e16c2a4da6dd437cad3f2608565e1b7f,complete R5900 structural decompile
0x0012b498,snes_p16_0012b498,snes-core-dsp,medium-high,0x00116334,1,186,0,a3ea758ca59cb99a0e962c3319693011987a30da62a309f5a2ee8536804c2d5f,complete R5900 structural decompile
