address,name,source,prior_status,area,confidence,first_call_site,call_count,pseudocode_lines,warning_count,warning_categories,warning_text,pseudocode_sha256,evidence
0x00174fe4,snes_p17_00174fe4,untracked-code-jal,UNTRACKED,cpu-audio-runtime,medium,0x00175670,4,180,1,unreachable-block,"Removing unreachable block (ram,0x00175138)",7bc94fdf40aa5f939023528f0f854e55e167e07ccee4ad6ae09fe31d5455ed9f,complete R5900 structural decompile; pinned warnings: unreachable-block; address label retained because the historical symbol is unproven
0x00175300,snes_p17_00175300,untracked-code-jal,UNTRACKED,cpu-audio-runtime,medium,0x00177a4c,1,449,1,unreachable-block,"Removing unreachable block (ram,0x00175ca0)",3c643d52b30ce2b855bc4aef79ecc7e4d2cab92d22ccc61b03fe6e8529961757,complete R5900 structural decompile; pinned warnings: unreachable-block; address label retained because the historical symbol is unproven
0x001806a4,snes_p17_001806a4,untracked-code-jal,UNTRACKED,cpu-audio-runtime,medium,0x001567f8,1,103,1,global-label-overlap,Globals starting with '_' overlap smaller symbols at the same address,9c45545b690b9cf9e6e879fa0d6aae65aca4b0318e653dc4f39f55656219c19a,complete R5900 structural decompile; pinned warnings: global-label-overlap; address label retained because the historical symbol is unproven
0x001813f0,snes_p17_001813f0,untracked-code-jal,UNTRACKED,cpu-audio-runtime,medium,0x0015c114,4,307,1,global-label-overlap,Globals starting with '_' overlap smaller symbols at the same address,8cb359e63be0f7d8e7c17f59bb6c3235dceb26707bf7de6d1eb0a78dc86b9b8f,complete R5900 structural decompile; pinned warnings: global-label-overlap; address label retained because the historical symbol is unproven
0x00181bac,snes_p17_00181bac,untracked-code-jal,UNTRACKED,cpu-audio-runtime,medium,0x0015bbf4,1,362,1,global-label-overlap,Globals starting with '_' overlap smaller symbols at the same address,56f6e38a33c6abadf256d5c6bb7e815da0e4bde8fe34d3668852d8d56963eeff,complete R5900 structural decompile; pinned warnings: global-label-overlap; address label retained because the historical symbol is unproven
0x00182638,snes_p17_00182638,untracked-code-jal,UNTRACKED,cpu-audio-runtime,medium,0x00171370,10,87,2,unreachable-block | global-label-overlap,"Removing unreachable block (ram,0x00182844) | Globals starting with '_' overlap smaller symbols at the same address",0f2ce2c9c0340736b38ec11127235934f0edc51dacb56d33c98b86d3ea266abe,"complete R5900 structural decompile; pinned warnings: unreachable-block, global-label-overlap; address label retained because the historical symbol is unproven"
0x001837cc,snes_p17_001837cc,untracked-code-jal,UNTRACKED,cpu-audio-runtime,medium,0x00183c40,3,86,2,unreachable-block,"Removing unreachable block (ram,0x001839c8) | Removing unreachable block (ram,0x00183a3c)",ded9ad8842e919f067ab34eead2aabe0cd8c4d563c3e251896a5339926bf528a,complete R5900 structural decompile; pinned warnings: unreachable-block; address label retained because the historical symbol is unproven
0x0018f408,unzOpen,mapped-promotion,IDENTIFIED,unzip,medium-high,0x001506c4,1,105,0,,,ad3dce85cb4038045e58c661244533775113f1150969754a01b462dd107e08a4,complete R5900 structural decompile; existing binary-derived mapped name retained
0x0018f6cc,unzlocal_GetCurrentFileInfoInternal,mapped-promotion,IDENTIFIED,unzip,medium-high,0x0018fad8,3,218,0,,,a2bae5edf1fc1a13883fe6f438e407478667cb052bcd373872492a6b21f0605d,complete R5900 structural decompile; existing binary-derived mapped name retained
0x0018fcec,unzlocal_CheckCurrentFileCoherencyHeader,mapped-promotion,IDENTIFIED,unzip,medium-high,0x0018ffac,1,137,0,,,9d93bc0396bc502288faa93d527922e078ee17ddd84714a195dde593e7b2eeb8,complete R5900 structural decompile; existing binary-derived mapped name retained
