member	status	source_revision	source	define	profile	input_closure_sha256	target_base	text_size_hex	text_sha256	normalized_sha256	target_sha256	relocation_count	symbols_sha256
libc/malloc.o	MEMBER_TEXT_EXACT	694100b78ad5bc8f8248a1138143860af4f8435f	ee/libc/src/alloc.c	F_malloc	ps2lib-ee-gcc-3.2.2-os-default-abi	774ae9cbbba07826760bb3ade41f05841a819ca5ce9d0c9ff08c87de3134b3ca	0x0019e474	0x1d4	5b80fd0406b837aa87b21b13183feaf7604a8a78d441bedfa8741633ed258609	5b80fd0406b837aa87b21b13183feaf7604a8a78d441bedfa8741633ed258609	d1ec5de40e76eba82a77e48104e878f9c21d3479ebd35f06a5e097b298aafb44	20	309a6d6ddef86998f7baf8bce6f50243f1aab896b9e97f64c58a44eda3bdc895
libc/memcmp.o	MEMBER_TEXT_EXACT	694100b78ad5bc8f8248a1138143860af4f8435f	ee/libc/src/memcmp.S		ps2lib-ee-gcc-3.2.2-os-default-abi	010008f1400a52f8702d018c93882adbab874dc5ef757dd9da004b5241e327b5	0x0019c458	0x48	0556d7c3c5cb4a32bf1e73abe1877da01b41adb9b52700f6a29fb506cb530b21	0556d7c3c5cb4a32bf1e73abe1877da01b41adb9b52700f6a29fb506cb530b21	0556d7c3c5cb4a32bf1e73abe1877da01b41adb9b52700f6a29fb506cb530b21	0	0f6bb570640726cecb60d8943b7bce07a51fdce77adcf77a55b21b90f7071454
libc/memcpy.o	MEMBER_TEXT_EXACT	694100b78ad5bc8f8248a1138143860af4f8435f	ee/libc/src/memcpy.S		ps2lib-ee-gcc-3.2.2-os-default-abi	ff1e4be118c264d5daae1ff93eed0f345816a8b440b0cb474e0d9ea96cb65a5c	0x0019c364	0x38	48cdda1e294bc3aa7e48cccef08bb0a8108b9ab687fd0f875c300aa2e2eacf27	48cdda1e294bc3aa7e48cccef08bb0a8108b9ab687fd0f875c300aa2e2eacf27	48cdda1e294bc3aa7e48cccef08bb0a8108b9ab687fd0f875c300aa2e2eacf27	0	1fc4764a08ece6dda7e518c57cd289d5800adc95083a50b977bd5c441fa3a660
libc/memmove.o	MEMBER_TEXT_EXACT	694100b78ad5bc8f8248a1138143860af4f8435f	ee/libc/src/memmove.S		ps2lib-ee-gcc-3.2.2-os-default-abi	a7e118d2ed84710844abfb142125bee7d4817f5cc2deaac52ad8e721cae07f21	0x0019c4a0	0x88	2c186336c5b6a90179b8d87225a562a458f9eb58ca86322cfb1630950f3336ed	2c186336c5b6a90179b8d87225a562a458f9eb58ca86322cfb1630950f3336ed	2c186336c5b6a90179b8d87225a562a458f9eb58ca86322cfb1630950f3336ed	0	c75c5ce7838b0df1994d1cd1dc39f4eb70034f7301c6be53d4452055a57120dc
libc/memset.o	MEMBER_TEXT_EXACT	694100b78ad5bc8f8248a1138143860af4f8435f	ee/libc/src/memset.S		ps2lib-ee-gcc-3.2.2-os-default-abi	cab983855e95dc5351f5ef5684e48ac9ab5cbda734f50d1047ce3354c8ffd133	0x0019c39c	0x38	cecbe61c3a5bab20064a2941574a50bd6e9c1727fc5c161be546310cd045a731	cecbe61c3a5bab20064a2941574a50bd6e9c1727fc5c161be546310cd045a731	cecbe61c3a5bab20064a2941574a50bd6e9c1727fc5c161be546310cd045a731	0	8b116bc5ad4f54743ea6f40fa4650406b7c7c17e80ea40c0541110af9c48fc98
libc/printf.o	MEMBER_TEXT_EXACT	694100b78ad5bc8f8248a1138143860af4f8435f	ee/libc/src/xprintf.c	F_printf	ps2lib-ee-gcc-3.2.2-os-default-abi	aef6271626a957d9c8f5b5f965d4a1b61232cff4f60fb61b2c71b60cc21b97f6	0x0019e388	0x48	a3bc11c8735700c2e49c15298a061bd8d171eca5cceb019baa0145aeca35f979	a3bc11c8735700c2e49c15298a061bd8d171eca5cceb019baa0145aeca35f979	22ab8f8f9deb28090014e1ddc2607d6b21401910ca52796881395ef51e8d73a1	1	e8b11bf1653d013af18cc49847fc39793d431e9b6740bd3a58b948e11cd1c96d
libc/puts.o	BLOCKED_RUNTIME_IDENTITY	694100b78ad5bc8f8248a1138143860af4f8435f	ee/libc/src/xprintf.c	F_puts	ps2lib-ee-gcc-3.2.2-os-default-abi	aef6271626a957d9c8f5b5f965d4a1b61232cff4f60fb61b2c71b60cc21b97f6		0x50	2a24e6f739e1f6d9587afe734b96791fd72c10bf86a553cc02fb0ae7c5dca455	2a24e6f739e1f6d9587afe734b96791fd72c10bf86a553cc02fb0ae7c5dca455		3	4d8e882d4c4bd346252de636c5aa7fca0ea1e41dcd3caadbdc906eff217d931d
libc/sprintf.o	MEMBER_TEXT_EXACT	694100b78ad5bc8f8248a1138143860af4f8435f	ee/libc/src/xprintf.c	F_sprintf	ps2lib-ee-gcc-3.2.2-os-default-abi	aef6271626a957d9c8f5b5f965d4a1b61232cff4f60fb61b2c71b60cc21b97f6	0x0019e3d0	0x44	c5fda8afdb7788521f5fb2fe076bcd7f3c70c0bcd2f587eaa9686dc5edebcd4b	c5fda8afdb7788521f5fb2fe076bcd7f3c70c0bcd2f587eaa9686dc5edebcd4b	1adefef8a28b0cc44a6ef93c1d7042f59b4dd5bfc0d33fe923e93cceceabfe4c	1	0169bb26335e1476638b076f51d86f614d6de2d8532aedbd35d0938173c812bf
libc/strcat.o	MEMBER_TEXT_EXACT	694100b78ad5bc8f8248a1138143860af4f8435f	ee/libc/src/strcat.S		ps2lib-ee-gcc-3.2.2-os-default-abi	cffc51b73f9662f61fd97540bd87dcc8a6713d671d66b7aaadd25851637a5709	0x0019c3d4	0x38	55c1b1cf9bebfaf632daf52fc6d4227b1c3f2b551d16e1bf46d3f33e5a418cf6	55c1b1cf9bebfaf632daf52fc6d4227b1c3f2b551d16e1bf46d3f33e5a418cf6	bed4556f3f1a6e88dd681b2e8c1ac8d051958157051401dcb8377deef9502237	1	79b4e886b4358d60fe6bbd4574e0c11bfea8952dfe819c800edd5b22e957aca7
libc/strchr.o	MEMBER_TEXT_EXACT	694100b78ad5bc8f8248a1138143860af4f8435f	ee/libc/src/strchr.S		ps2lib-ee-gcc-3.2.2-os-default-abi	0712af743beb533b8210ad314c4a9793bedc261fbfc90357aebea9b5c4d68fa7	0x0019c610	0x38	03646cb7c550f381c3be186b987da0b9568ef7526df434289e33eebc19743288	03646cb7c550f381c3be186b987da0b9568ef7526df434289e33eebc19743288	03646cb7c550f381c3be186b987da0b9568ef7526df434289e33eebc19743288	0	833a471483076561465eae1bfb2649f3730a50b25c0c245469d6c55432be0ba7
