symbol	category	status	target_address	extent_hex	region	sha256	evidence	requesters	detail
g_frontend_driver_001bb2c0	named-program-data	RANGE_PROVED	0x1bb2c0	0x4	initialized	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	reviewed-source-pointer	ps2/progress11_frontend_recovered.o;ps2/progress22_more_small_helpers_recovered.o	address-labelled frontend driver slot is a four-byte EE pointer;evidence=src/ps2/progress22_more_small_helpers_recovered.c#extern void *g_frontend_driver_001bb2c0
g_frontend_font_001bb748	named-program-data	ADDRESS_PROVED	0x1bb748		address-only		reviewed-address-labelled-source	ps2/progress22_more_small_helpers_recovered.o	font object address is known but its complete historical extent is not;evidence=src/ps2/progress22_more_small_helpers_recovered.c#extern unsigned char g_frontend_font_001bb748[]
g_gfx_blob	named-program-data	RANGE_PROVED	0x35d480	0x50	initialized	5b6fb58e61fa475939767d68a446f97f1bff02c0e5935a3ea8bb51e6515783d8	v87-target-address+minimum-consumed-extent	snes9x/draw_large_pixel_recovered.o;snes9x/tile_16bit_recovered.o;snes9x/tile_color_math_recovered.o;snes9x/tile_draw_clipped_recovered.o;snes9x/tile_draw_recovered.o;snes9x/tile_large16_recovered.o;snes9x/tile_pixel_helpers_recovered.o;snes9x/tile_scaled_remaining_recovered.o;snes9x/tile_x2_recovered.o	target bytes/zero-fill fingerprinted; extent remains the source-consumed minimum
g_head_mask	named-program-data	RANGE_PROVED	0x3f4040	0x10	initialized	85dac6342db59db97bc6795d0cde6b90fe1bcd64bc75710042efeb566fbc0ed7	v87-target-address+minimum-consumed-extent	snes9x/tile_16bit_recovered.o;snes9x/tile_color_math_recovered.o;snes9x/tile_draw_clipped_recovered.o;snes9x/tile_scaled_remaining_recovered.o	target bytes/zero-fill fingerprinted; extent remains the source-consumed minimum
g_loaded_rom_path	named-program-data	RANGE_PROVED	0x35b328	0x800	initialized	e5a00aa9991ac8a5ee3109844d84a55583bd20572ad3ffcd42792f3c36b183ad	v87-target-address+minimum-consumed-extent	ps2/path_helpers_recovered.o	target bytes/zero-fill fingerprinted; extent remains the source-consumed minimum
g_memory_card_available	named-program-data	RANGE_PROVED	0x1ebaec	0x4	initialized	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	reviewed-target-store	app/main_flow_recovered.o	main stores the memory-card setup result through lui 0x1f plus signed offset -0x4514;evidence=analysis/functions/main_tail_00105060.asm#105190: ec ba 62 ac
g_memory_state_001c3ab0	named-program-data	ADDRESS_PROVED	0x1c3ab0		address-only		reviewed-address-labelled-source	ps2/libmtap_recovered.o	memory object address is known but its complete historical extent is not;evidence=src/ps2/libmtap_recovered.c#extern unsigned char g_memory_state_001c3ab0[]
g_memory_vram	named-program-data	RANGE_PROVED	0x34e2b8	0x4	initialized	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	v87-target-address+minimum-consumed-extent	snes9x/tile_converter_recovered.o	target bytes/zero-fill fingerprinted; extent remains the source-consumed minimum
g_odd_high	named-program-data	RANGE_PROVED	0x35f9a0	0x100	initialized	5341e6b2646979a70e57653007a1f310169421ec9bdd9f1a5648f75ade005af1	v87-target-address+minimum-consumed-extent	snes9x/tile_converter_recovered.o;snes9x/tile_lookup_tables_recovered.o	target bytes/zero-fill fingerprinted; extent remains the source-consumed minimum
g_odd_low	named-program-data	RANGE_PROVED	0x35faa0	0x100	initialized	5341e6b2646979a70e57653007a1f310169421ec9bdd9f1a5648f75ade005af1	v87-target-address+minimum-consumed-extent	snes9x/tile_converter_recovered.o;snes9x/tile_lookup_tables_recovered.o	target bytes/zero-fill fingerprinted; extent remains the source-consumed minimum
