symbol	status	target_address	extent_hex	source	source_sha256	profile_sha256	canonical_symbol	canonical_source	requesters	target_sha256	normalized_sha256	linked_sha256	incoming_calls	outgoing_calls	matching_evidence	evidence_sha256
abort	TARGET_OVERRIDE_EXACT	0x00107578	0x8	matching/candidates/runtime_overrides.c	8a9d69267a946756878cd51e51b4ff905d8a994638adc5e2f15f683e2c2c4c97	195433ff11515768eccb34f344a02a36cd2dabb6c1211231562e24f131745057	snes_fatal_spin_00107578	src/ps2/libc_misc_recovered.c	ps2/gcc_fde_runtime_recovered.o;ps2/gcc_unwind_pe_recovered.o	5022a6d02ef346142e4bcbb6440d2f65c43ab6c01cb1cb86dab07dc665bfd557	5022a6d02ef346142e4bcbb6440d2f65c43ab6c01cb1cb86dab07dc665bfd557	5022a6d02ef346142e4bcbb6440d2f65c43ab6c01cb1cb86dab07dc665bfd557	14		analysis/matching/hunt1000plus-v41-validated-28.tsv	fd7c6c90b979cefc8a49db8a3b1b623214fb0ed06fddce18c5c744c3f3aff237
puts	TARGET_OVERRIDE_EXACT	0x0019e414	0x60	matching/candidates/runtime_overrides.c	8a9d69267a946756878cd51e51b4ff905d8a994638adc5e2f15f683e2c2c4c97	195433ff11515768eccb34f344a02a36cd2dabb6c1211231562e24f131745057	puts_like_recovered	src/ps2/stdio_wrappers_recovered.c	app/main_bootstrap.o;app/main_flow_recovered.o	8e040f72610322629a3392f97b26c9dccf0eb3d1392c93692561a6323ffc025f	f8d0fd0960df179b6d7204f9a40bf3a1a2442ea8144b54ac8dc99613004be6ac	8e040f72610322629a3392f97b26c9dccf0eb3d1392c93692561a6323ffc025f	1	fioWrite@0x0019d244	analysis/matching/hunt1000plus-v47-validated-79.tsv	fce375f4f3738af37cd57537ff374d0a7dbe0ca85559ecca8691858bce0bc623
