symbol	offset_hex	kind	status	source	source_function	function_address	function_extent_hex	function_sha256	matching_evidence	matching_evidence_sha256	source_function_sha256	helper_sha256	claim
DAT_00407fdf	0x00407fdf	rom-header-byte	ROM_OFFSET_SOURCE_REFACTOR_CLOSED	src/ps2/progress28_structural_lift_recovered.c	snes_p28_001522d8	0x001522d8	0x107c	5c6072d8d1892b2346877a2820d67d29a2040a333951ad704b9301380cb47a8c	analysis/matching/hunt1041-v52-validated-17.tsv	05383075b5e8de362905b18184a8b4b88c4b9e1310568ac1791fff170c6129d9	37763845b19b6341431958ccd6a7fe769d0f9c1a836e2dfa235437c14df84c11	c2d81ddc125e4d050a49c40743cb3ce53c6c975d39f2a118524f0e089a073e59	ROM-relative constant, not storage at the numerically equal EE address
DAT_0040ffd5	0x0040ffd5	rom-header-byte	ROM_OFFSET_SOURCE_REFACTOR_CLOSED	src/ps2/progress28_structural_lift_recovered.c	snes_p28_001522d8	0x001522d8	0x107c	5c6072d8d1892b2346877a2820d67d29a2040a333951ad704b9301380cb47a8c	analysis/matching/hunt1041-v52-validated-17.tsv	05383075b5e8de362905b18184a8b4b88c4b9e1310568ac1791fff170c6129d9	37763845b19b6341431958ccd6a7fe769d0f9c1a836e2dfa235437c14df84c11	c2d81ddc125e4d050a49c40743cb3ce53c6c975d39f2a118524f0e089a073e59	ROM-relative constant, not storage at the numerically equal EE address
DAT_0040ffd6	0x0040ffd6	rom-header-byte	ROM_OFFSET_SOURCE_REFACTOR_CLOSED	src/ps2/progress28_structural_lift_recovered.c	snes_p28_001522d8	0x001522d8	0x107c	5c6072d8d1892b2346877a2820d67d29a2040a333951ad704b9301380cb47a8c	analysis/matching/hunt1041-v52-validated-17.tsv	05383075b5e8de362905b18184a8b4b88c4b9e1310568ac1791fff170c6129d9	37763845b19b6341431958ccd6a7fe769d0f9c1a836e2dfa235437c14df84c11	c2d81ddc125e4d050a49c40743cb3ce53c6c975d39f2a118524f0e089a073e59	ROM-relative constant, not storage at the numerically equal EE address
DAT_0040ffd7	0x0040ffd7	rom-header-byte	ROM_OFFSET_SOURCE_REFACTOR_CLOSED	src/ps2/progress28_structural_lift_recovered.c	snes_p28_001522d8	0x001522d8	0x107c	5c6072d8d1892b2346877a2820d67d29a2040a333951ad704b9301380cb47a8c	analysis/matching/hunt1041-v52-validated-17.tsv	05383075b5e8de362905b18184a8b4b88c4b9e1310568ac1791fff170c6129d9	37763845b19b6341431958ccd6a7fe769d0f9c1a836e2dfa235437c14df84c11	c2d81ddc125e4d050a49c40743cb3ce53c6c975d39f2a118524f0e089a073e59	ROM-relative constant, not storage at the numerically equal EE address
DAT_0040ffd8	0x0040ffd8	rom-header-byte	ROM_OFFSET_SOURCE_REFACTOR_CLOSED	src/ps2/progress28_structural_lift_recovered.c	snes_p28_001522d8	0x001522d8	0x107c	5c6072d8d1892b2346877a2820d67d29a2040a333951ad704b9301380cb47a8c	analysis/matching/hunt1041-v52-validated-17.tsv	05383075b5e8de362905b18184a8b4b88c4b9e1310568ac1791fff170c6129d9	37763845b19b6341431958ccd6a7fe769d0f9c1a836e2dfa235437c14df84c11	c2d81ddc125e4d050a49c40743cb3ce53c6c975d39f2a118524f0e089a073e59	ROM-relative constant, not storage at the numerically equal EE address
DAT_0040ffd9	0x0040ffd9	rom-header-byte	ROM_OFFSET_SOURCE_REFACTOR_CLOSED	src/ps2/progress28_structural_lift_recovered.c	snes_p28_001522d8	0x001522d8	0x107c	5c6072d8d1892b2346877a2820d67d29a2040a333951ad704b9301380cb47a8c	analysis/matching/hunt1041-v52-validated-17.tsv	05383075b5e8de362905b18184a8b4b88c4b9e1310568ac1791fff170c6129d9	37763845b19b6341431958ccd6a7fe769d0f9c1a836e2dfa235437c14df84c11	c2d81ddc125e4d050a49c40743cb3ce53c6c975d39f2a118524f0e089a073e59	ROM-relative constant, not storage at the numerically equal EE address
DAT_0040ffdc	0x0040ffdc	rom-header-byte	ROM_OFFSET_SOURCE_REFACTOR_CLOSED	src/ps2/progress28_structural_lift_recovered.c	snes_p28_001522d8	0x001522d8	0x107c	5c6072d8d1892b2346877a2820d67d29a2040a333951ad704b9301380cb47a8c	analysis/matching/hunt1041-v52-validated-17.tsv	05383075b5e8de362905b18184a8b4b88c4b9e1310568ac1791fff170c6129d9	37763845b19b6341431958ccd6a7fe769d0f9c1a836e2dfa235437c14df84c11	c2d81ddc125e4d050a49c40743cb3ce53c6c975d39f2a118524f0e089a073e59	ROM-relative constant, not storage at the numerically equal EE address
DAT_0040ffdd	0x0040ffdd	rom-header-byte	ROM_OFFSET_SOURCE_REFACTOR_CLOSED	src/ps2/progress28_structural_lift_recovered.c	snes_p28_001522d8	0x001522d8	0x107c	5c6072d8d1892b2346877a2820d67d29a2040a333951ad704b9301380cb47a8c	analysis/matching/hunt1041-v52-validated-17.tsv	05383075b5e8de362905b18184a8b4b88c4b9e1310568ac1791fff170c6129d9	37763845b19b6341431958ccd6a7fe769d0f9c1a836e2dfa235437c14df84c11	c2d81ddc125e4d050a49c40743cb3ce53c6c975d39f2a118524f0e089a073e59	ROM-relative constant, not storage at the numerically equal EE address
DAT_0040ffde	0x0040ffde	rom-header-byte	ROM_OFFSET_SOURCE_REFACTOR_CLOSED	src/ps2/progress28_structural_lift_recovered.c	snes_p28_001522d8	0x001522d8	0x107c	5c6072d8d1892b2346877a2820d67d29a2040a333951ad704b9301380cb47a8c	analysis/matching/hunt1041-v52-validated-17.tsv	05383075b5e8de362905b18184a8b4b88c4b9e1310568ac1791fff170c6129d9	37763845b19b6341431958ccd6a7fe769d0f9c1a836e2dfa235437c14df84c11	c2d81ddc125e4d050a49c40743cb3ce53c6c975d39f2a118524f0e089a073e59	ROM-relative constant, not storage at the numerically equal EE address
DAT_0040ffdf	0x0040ffdf	rom-header-byte	ROM_OFFSET_SOURCE_REFACTOR_CLOSED	src/ps2/progress28_structural_lift_recovered.c	snes_p28_001522d8	0x001522d8	0x107c	5c6072d8d1892b2346877a2820d67d29a2040a333951ad704b9301380cb47a8c	analysis/matching/hunt1041-v52-validated-17.tsv	05383075b5e8de362905b18184a8b4b88c4b9e1310568ac1791fff170c6129d9	37763845b19b6341431958ccd6a7fe769d0f9c1a836e2dfa235437c14df84c11	c2d81ddc125e4d050a49c40743cb3ce53c6c975d39f2a118524f0e089a073e59	ROM-relative constant, not storage at the numerically equal EE address
UNK_00108000	0x00108000	rom-copy-offset	ROM_OFFSET_SOURCE_REFACTOR_CLOSED	src/ps2/progress28_structural_lift_recovered.c	snes_p28_001513bc	0x001513bc	0xcfc	6239824cf4772b39bebc112b1e8f4ec711b8e0fbf7366ee2bee95c8cd57b4239	analysis/matching/hunt1041-v52-validated-17.tsv	05383075b5e8de362905b18184a8b4b88c4b9e1310568ac1791fff170c6129d9	84f37a9d332d7599e672b9b81b57a7739f1686b72c90aec337bce2a4334ac0f8	c2d81ddc125e4d050a49c40743cb3ce53c6c975d39f2a118524f0e089a073e59	ROM-relative constant, not storage at the numerically equal EE address
UNK_00208000	0x00208000	rom-copy-offset	ROM_OFFSET_SOURCE_REFACTOR_CLOSED	src/ps2/progress28_structural_lift_recovered.c	snes_p28_00154c2c	0x00154c2c	0x370	fe4ccccb5cc1a55044f02123e8162b13803e9d3860aa8bd28abe8576671518e2	analysis/matching/hunt500plus-v33-validated-204.tsv	198b46bab535289a94dc3974ab342f12191763e99b5f096294b68629f210f5a7	1542f8c29f057bbf887a21147da8ee8c6ab2798739a6ba37e8a3992c524eb2f7	c2d81ddc125e4d050a49c40743cb3ce53c6c975d39f2a118524f0e089a073e59	ROM-relative constant, not storage at the numerically equal EE address
UNK_00400001	0x00400001	rom-size-limit	ROM_OFFSET_SOURCE_REFACTOR_CLOSED	src/ps2/progress28_structural_lift_recovered.c	snes_p28_001522d8	0x001522d8	0x107c	5c6072d8d1892b2346877a2820d67d29a2040a333951ad704b9301380cb47a8c	analysis/matching/hunt1041-v52-validated-17.tsv	05383075b5e8de362905b18184a8b4b88c4b9e1310568ac1791fff170c6129d9	37763845b19b6341431958ccd6a7fe769d0f9c1a836e2dfa235437c14df84c11	c2d81ddc125e4d050a49c40743cb3ce53c6c975d39f2a118524f0e089a073e59	ROM-relative constant, not storage at the numerically equal EE address
UNK_00407fb0	0x00407fb0	rom-header-pointer	ROM_OFFSET_SOURCE_REFACTOR_CLOSED	src/ps2/progress28_structural_lift_recovered.c	snes_p28_001522d8	0x001522d8	0x107c	5c6072d8d1892b2346877a2820d67d29a2040a333951ad704b9301380cb47a8c	analysis/matching/hunt1041-v52-validated-17.tsv	05383075b5e8de362905b18184a8b4b88c4b9e1310568ac1791fff170c6129d9	37763845b19b6341431958ccd6a7fe769d0f9c1a836e2dfa235437c14df84c11	c2d81ddc125e4d050a49c40743cb3ce53c6c975d39f2a118524f0e089a073e59	ROM-relative constant, not storage at the numerically equal EE address
UNK_00407fb2	0x00407fb2	rom-header-pointer	ROM_OFFSET_SOURCE_REFACTOR_CLOSED	src/ps2/progress28_structural_lift_recovered.c	snes_p28_001522d8	0x001522d8	0x107c	5c6072d8d1892b2346877a2820d67d29a2040a333951ad704b9301380cb47a8c	analysis/matching/hunt1041-v52-validated-17.tsv	05383075b5e8de362905b18184a8b4b88c4b9e1310568ac1791fff170c6129d9	37763845b19b6341431958ccd6a7fe769d0f9c1a836e2dfa235437c14df84c11	c2d81ddc125e4d050a49c40743cb3ce53c6c975d39f2a118524f0e089a073e59	ROM-relative constant, not storage at the numerically equal EE address
UNK_00407fc0	0x00407fc0	rom-header-pointer	ROM_OFFSET_SOURCE_REFACTOR_CLOSED	src/ps2/progress28_structural_lift_recovered.c	snes_p28_001522d8	0x001522d8	0x107c	5c6072d8d1892b2346877a2820d67d29a2040a333951ad704b9301380cb47a8c	analysis/matching/hunt1041-v52-validated-17.tsv	05383075b5e8de362905b18184a8b4b88c4b9e1310568ac1791fff170c6129d9	37763845b19b6341431958ccd6a7fe769d0f9c1a836e2dfa235437c14df84c11	c2d81ddc125e4d050a49c40743cb3ce53c6c975d39f2a118524f0e089a073e59	ROM-relative constant, not storage at the numerically equal EE address
UNK_0040ffb0	0x0040ffb0	rom-header-pointer	ROM_OFFSET_SOURCE_REFACTOR_CLOSED	src/ps2/progress28_structural_lift_recovered.c	snes_p28_001522d8	0x001522d8	0x107c	5c6072d8d1892b2346877a2820d67d29a2040a333951ad704b9301380cb47a8c	analysis/matching/hunt1041-v52-validated-17.tsv	05383075b5e8de362905b18184a8b4b88c4b9e1310568ac1791fff170c6129d9	37763845b19b6341431958ccd6a7fe769d0f9c1a836e2dfa235437c14df84c11	c2d81ddc125e4d050a49c40743cb3ce53c6c975d39f2a118524f0e089a073e59	ROM-relative constant, not storage at the numerically equal EE address
UNK_0040ffb2	0x0040ffb2	rom-header-pointer	ROM_OFFSET_SOURCE_REFACTOR_CLOSED	src/ps2/progress28_structural_lift_recovered.c	snes_p28_001522d8	0x001522d8	0x107c	5c6072d8d1892b2346877a2820d67d29a2040a333951ad704b9301380cb47a8c	analysis/matching/hunt1041-v52-validated-17.tsv	05383075b5e8de362905b18184a8b4b88c4b9e1310568ac1791fff170c6129d9	37763845b19b6341431958ccd6a7fe769d0f9c1a836e2dfa235437c14df84c11	c2d81ddc125e4d050a49c40743cb3ce53c6c975d39f2a118524f0e089a073e59	ROM-relative constant, not storage at the numerically equal EE address
UNK_0040ffc0	0x0040ffc0	rom-header-pointer	ROM_OFFSET_SOURCE_REFACTOR_CLOSED	src/ps2/progress28_structural_lift_recovered.c	snes_p28_001522d8	0x001522d8	0x107c	5c6072d8d1892b2346877a2820d67d29a2040a333951ad704b9301380cb47a8c	analysis/matching/hunt1041-v52-validated-17.tsv	05383075b5e8de362905b18184a8b4b88c4b9e1310568ac1791fff170c6129d9	37763845b19b6341431958ccd6a7fe769d0f9c1a836e2dfa235437c14df84c11	c2d81ddc125e4d050a49c40743cb3ce53c6c975d39f2a118524f0e089a073e59	ROM-relative constant, not storage at the numerically equal EE address
