owner	base_address	end_address	minimum_extent_hex	aliases	status	size_values	max_mixer_count	worst_halfword_offset_hex	enqueue_symbol	enqueue_match_evidence	size_store_pc	size_store_owner	private_sha256	zero_bytes	nonzero_bytes	claim
pcm_left	0x001bbd80	0x001bf980	0x3c00	DAT_001bbd80,DAT_001bbd82,DAT_001bbd84,DAT_001bbd86	PCM_BUFFER_MINIMUM_EXTENT	800,960	1920	0x3bfe	SjPCM_Enqueue	analysis/matching/hunt1000plus-v46-validated-42.tsv	0x00105414	main	0299f757a85a1aad6cbe1ad2b0eda925d8df667cd04e646af8917f65cbf24537	15360	0	minimum target-consumed PS2 PCM channel extent proved from exact SIZE CFG, reachable mixer-count transformations, target access formulas, and private range fingerprint; complete original C array extent remains unclaimed
pcm_right	0x001d3480	0x001d7080	0x3c00	DAT_001d3480,DAT_001d3482,DAT_001d3484,DAT_001d3486	PCM_BUFFER_MINIMUM_EXTENT	800,960	1920	0x3bfe	SjPCM_Enqueue	analysis/matching/hunt1000plus-v46-validated-42.tsv	0x00105414	main	0299f757a85a1aad6cbe1ad2b0eda925d8df667cd04e646af8917f65cbf24537	15360	0	minimum target-consumed PS2 PCM channel extent proved from exact SIZE CFG, reachable mixer-count transformations, target access formulas, and private range fingerprint; complete original C array extent remains unclaimed
