symbol	target_address	status	extent_hex	region	sha256	function_address	function_extent_hex	access_address	access_opcode	base_register	trace_addresses	instruction_window_sha256	callee_address	callee_sha256	matching_evidence	matching_evidence_sha256	requesters	proof_kind	function_sha256	analysis_sha256	claim
DAT_0034e290	0x0034e290	DIRECT_ACCESS_PROVED	0x4	initialized	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0x00177a84	0x268	0x00177bb8	sw	8	0x00177a9c;0x00177aa4	49c5bb585ba22d0ff11502960680ab301902d8df4315aa7ba86f4095b1134542			analysis/matching/hunt1041-v80-validated-quickwins-23.tsv	bc64ffd5bceeb09497ff1e765080b7ca7d92f7127b9724423638bbbf4bf2160f	ps2/progress28_structural_lift_recovered.o	cfg-must-constant	49c5bb585ba22d0ff11502960680ab301902d8df4315aa7ba86f4095b1134542	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_0034e294	0x0034e294	DIRECT_ACCESS_PROVED	0x4	initialized	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0x0010ad48	0x628	0x0010ae78	sw	2	0x0010ae70	b8828718c0c343f2ca577fc14346a4de291c8fdbcd74aee2638fa881d5b50a70			analysis/matching/hunt500plus-v33-validated-204.tsv	198b46bab535289a94dc3974ab342f12191763e99b5f096294b68629f210f5a7	ps2/progress28_structural_lift_recovered.o	block-local-constant	110f555c836f56076a15af99d73fbfdf6c321ddabe798fabadda9f7da7584bcb	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_0034e298	0x0034e298	DIRECT_ACCESS_PROVED	0x4	initialized	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0x001140e0	0x38	0x001140f4	lw	2	0x001140ec	859d4a7970f3a20b5f4136bd6376caa980141f78d2967ba4ffb90714c1309e1d			analysis/matching/hunt500plus-v33-validated-204.tsv	198b46bab535289a94dc3974ab342f12191763e99b5f096294b68629f210f5a7	ps2/progress28_structural_lift_recovered.o	block-local-constant	34ff1b48618321251de88026070333ecb599d7a85b2d8f8bd08a4cff05152f00	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_0034e29c	0x0034e29c	DIRECT_ACCESS_PROVED	0x4	initialized	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0x00151074	0x2bc	0x00151234	sw	2	0x00151228	efdb53b023b2e60e118d03693e85dc24b6b1f01c7a9a889149bc85de5be83aaa			analysis/matching/hunt1041-v80-validated-quickwins-23.tsv	bc64ffd5bceeb09497ff1e765080b7ca7d92f7127b9724423638bbbf4bf2160f	ps2/progress28_structural_lift_recovered.o	block-local-constant	2e0e6aa18847dc3daa08c9da2749c4ea2d67e41645566e005bf32c029487a102	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_0034e2a8	0x0034e2a8	DIRECT_ACCESS_PROVED	0x4	initialized	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0x00129250	0x1d0	0x00129260	lw	2	0x00129254	ec662ab3fd21681f078efc9f1868895e5bbc2a3bc5fdb22e1d8a5156c023eb64			analysis/matching/hunt1000plus-v34-validated-16.tsv	3e824f63d90666b021b356df579c5d3404e23acffa3e959ea863354f4219d1f3	ps2/progress28_structural_lift_recovered.o	block-local-constant	6289b22588d7a4aa0914ba8cb3c66bb7ee22192188297d54bfe1e1a5cad4d48b	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_0034e2b0	0x0034e2b0	DIRECT_ACCESS_PROVED	0x4	initialized	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0x001140e0	0x38	0x001140e8	lw	2	0x001140e0	98779a7232362ca486f9a7c9c376918d0aa15eb3300058cbced501dd683dec34			analysis/matching/hunt500plus-v33-validated-204.tsv	198b46bab535289a94dc3974ab342f12191763e99b5f096294b68629f210f5a7	ps2/progress28_structural_lift_recovered.o	block-local-constant	34ff1b48618321251de88026070333ecb599d7a85b2d8f8bd08a4cff05152f00	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_0034e2b4	0x0034e2b4	DIRECT_ACCESS_PROVED	0x4	initialized	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0x00129af4	0x90c	0x0012a180	lw	2	0x0012a178	920fd50abb1421a3cc8821812a07cc861e5f6f78aa0f46a7f02ac9b17ae3d962			analysis/matching/hunt1041-v72-validated-v53-6.tsv	b47aedc105d156ff00ff74bf90753e416b3ec6a9de47b5bd3991a8cbe727c01c	ps2/progress28_structural_lift_recovered.o	block-local-constant	a9ae7335a957dc56292cd234e7c49a9cc432b6f6e4c4f300225f30b4476b27a9	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_0034e2b8	0x0034e2b8	DIRECT_ACCESS_PROVED	0x4	initialized	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0x0012a400	0xfe8	0x0012a55c	lw	2	0x0012a558	99c3a066b97f22ebbfb9c9b2ae6e5d0cb01b932c90f157012f83059b0ff47873			analysis/matching/hunt1041-v72-validated-v53-6.tsv	b47aedc105d156ff00ff74bf90753e416b3ec6a9de47b5bd3991a8cbe727c01c	ps2/progress28_structural_lift_recovered.o	block-local-constant	dd2102d989e6c94134d3272194d288cf3aa85ba2af8e5e336119fafec36f768e	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_0034e2bc	0x0034e2bc	DIRECT_ACCESS_PROVED	0x4	initialized	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0x0015dab4	0xc0	0x0015db0c	lw	3	0x0015db04	f0a052ad530613538fbc25580589b1201246716a553136b523c56dd144962c00			analysis/matching/hunt500plus-v33-validated-204.tsv	198b46bab535289a94dc3974ab342f12191763e99b5f096294b68629f210f5a7	ps2/progress28_structural_lift_recovered.o	block-local-constant	5f21a93bf8dba4fcf48d349130054bad11be6d849ed258a0b165939c79b55017	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_0034e2c0	0x0034e2c0	DIRECT_ACCESS_PROVED	0x4	initialized	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0x001ab4e8	0x154	0x001ab5fc	lw	2	0x001ab5f0	3d8354b1c2386de453be0c9cfe14e03bb517a6bbbffddc394657833f9a71c0d6			analysis/matching/hunt400-validated-19.tsv	a698d766a3ef8eda7cc7aec7e16ad590ad72239b6c31d80cba6a38a3a0a61d98	ps2/progress28_structural_lift_recovered.o	block-local-constant	c0fb3f0a7e91e013b5d9f76512599c76e64c85f02785168773594691e40d64cb	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
