symbol	category	status	target_address	extent_hex	region	sha256	canonical_symbol	evidence	requesters	detail
uRam00447701	named-external	TARGET_RANGE_PROVED	0x00447701	0x1	zero-fill	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d		target-address+reviewed-consumed-extent	ps2/progress28_structural_lift_recovered.o	exact private-reference range; final placement remains Stage 3G
uRam00447702	named-external	TARGET_RANGE_PROVED	0x00447702	0x1	zero-fill	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d		target-address+reviewed-consumed-extent	ps2/progress28_structural_lift_recovered.o	exact private-reference range; final placement remains Stage 3G
uRam00447703	named-external	TARGET_RANGE_PROVED	0x00447703	0x1	zero-fill	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d		target-address+reviewed-consumed-extent	ps2/progress28_structural_lift_recovered.o	exact private-reference range; final placement remains Stage 3G
uRam00447704	named-external	TARGET_RANGE_PROVED	0x00447704	0x1	zero-fill	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d		target-address+reviewed-consumed-extent	ps2/progress28_structural_lift_recovered.o	exact private-reference range; final placement remains Stage 3G
uRam00447705	named-external	TARGET_RANGE_PROVED	0x00447705	0x1	zero-fill	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d		target-address+reviewed-consumed-extent	ps2/progress28_structural_lift_recovered.o	exact private-reference range; final placement remains Stage 3G
uRam00447706	named-external	TARGET_RANGE_PROVED	0x00447706	0x1	zero-fill	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d		target-address+reviewed-consumed-extent	ps2/progress28_structural_lift_recovered.o	exact private-reference range; final placement remains Stage 3G
uRam00447707	named-external	TARGET_RANGE_PROVED	0x00447707	0x1	zero-fill	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d		target-address+reviewed-consumed-extent	ps2/progress28_structural_lift_recovered.o	exact private-reference range; final placement remains Stage 3G
uRam00447708	named-external	TARGET_RANGE_PROVED	0x00447708	0x1	zero-fill	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d		target-address+reviewed-consumed-extent	ps2/progress28_structural_lift_recovered.o	exact private-reference range; final placement remains Stage 3G
uRam00447709	named-external	TARGET_RANGE_PROVED	0x00447709	0x1	zero-fill	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d		target-address+reviewed-consumed-extent	ps2/progress28_structural_lift_recovered.o	exact private-reference range; final placement remains Stage 3G
uRam0044770a	named-external	TARGET_RANGE_PROVED	0x0044770a	0x1	zero-fill	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d		target-address+reviewed-consumed-extent	ps2/progress28_structural_lift_recovered.o	exact private-reference range; final placement remains Stage 3G
uRam0044770b	named-external	TARGET_RANGE_PROVED	0x0044770b	0x1	zero-fill	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d		target-address+reviewed-consumed-extent	ps2/progress28_structural_lift_recovered.o	exact private-reference range; final placement remains Stage 3G
uRam0044770c	named-external	TARGET_RANGE_PROVED	0x0044770c	0x1	zero-fill	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d		target-address+reviewed-consumed-extent	ps2/progress28_structural_lift_recovered.o	exact private-reference range; final placement remains Stage 3G
uRam0044770d	named-external	TARGET_RANGE_PROVED	0x0044770d	0x1	zero-fill	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d		target-address+reviewed-consumed-extent	ps2/progress28_structural_lift_recovered.o	exact private-reference range; final placement remains Stage 3G
uRam0044770e	named-external	TARGET_RANGE_PROVED	0x0044770e	0x1	zero-fill	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d		target-address+reviewed-consumed-extent	ps2/progress28_structural_lift_recovered.o	exact private-reference range; final placement remains Stage 3G
