section	target_address	extent_hex	origin	region	alignment_hex	sha256	evidence_sha256
.data.stage3f.history.va_00345628	0x00345628	0x8c70	historical-source-exact	initialized	0x1	1c1fb45051ee5ca927b8edc4a380f36e803e0a069447ff1b65e3a7594e5b090a	a780ef323c9740285d344fd81f4f13a62a365f6cf92e01c0adb5e9da64728362
.data.stage3ce.va_0034e298	0x0034e298	0x4	stage3ce	initialized	0x1	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	5692c7fc93e387c41b7ff1e49d1adcf6e803f81a371c168f676074e1feb7edc5
.data.stage3f.history.va_0034e29c	0x0034e29c	0x14	historical-source-exact	initialized	0x1	de47c9b27eb8d300dbb5f2c353e632c393262cf06340c4fa7f1b40c4cbd36f90	a780ef323c9740285d344fd81f4f13a62a365f6cf92e01c0adb5e9da64728362
.data.stage3ce.va_0034e2b0	0x0034e2b0	0x1b078	stage3ce	initialized	0x1	dbddd7ba01fe40175b78a2c8c2fa3fed2b54ffc3d334f8072cb711dbc61b5823	39f82316bf6c616ebcde76f61f31facf355a4de5f469ff47589b632fe7cbacd8
.data.stage3f.history.va_00369328	0x00369328	0x89c58	historical-source-exact	initialized	0x1	488ec4f495e777a19130e5b9612c5c9b7b2ff882cfec7aee4362d94e600ce0ae	a780ef323c9740285d344fd81f4f13a62a365f6cf92e01c0adb5e9da64728362
.data.stage3ce.va_003f2f80	0x003f2f80	0x1000	stage3ce	initialized	0x1	ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7	30a5d6dc60c1b184c367c41488cd9227dceaae11596ebe20c9e6771a941c33dc
.data.stage3f.history.va_003f3f80	0x003f3f80	0xc0	historical-source-exact	initialized	0x1	27dfccbc6ad52aa97cd6c469fc60237d5c8227dfec4bd0460418e686d02724ac	a780ef323c9740285d344fd81f4f13a62a365f6cf92e01c0adb5e9da64728362
.data.stage3ce.va_003f4040	0x003f4040	0x24	stage3ce	initialized	0x1	b59a8485437d429cf4786d72c5ef5a3f9cb9e832dbd3300db95144cc082bc5cc	16ab20d094cadc3ba3eeb1055b53a101600a5667f570892f182bedda5935f154
.data.stage3f.history.va_003f4064	0x003f4064	0x844	historical-source-exact	initialized	0x1	42d4a9789959dabfa8a7b7a580ef74fdc36f162ea47d969b8fed5247102a0bab	a780ef323c9740285d344fd81f4f13a62a365f6cf92e01c0adb5e9da64728362
.data.stage3ce.va_003f4918	0x003f4918	0x4c	stage3ce	initialized	0x1	7213c69e8c9bd5b536fdd1f90e8c6bdfae34f0f6d13917efca3fbe23ec31b494	d4a8347162c08a9c1fe62978f7ecd05d4d334b14380557f98306a5f572884093
.data.stage3ce.va_003f4be8	0x003f4be8	0x4	stage3ce	initialized	0x1	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	85d694f4d534cc006172138c98a9b45b122f47fc6d5d256cb5665f1c12976a6e
.data.stage3f.va_003f4bf0	0x003f4bf0	0x5	stage3f-access	initialized	0x1	fc406cf5abffb1808f07c633006f924c7c8ca08bc3a56c172b72b9a5d10b62ce	bd403371e46667a6c091ccee7dc714d746eb12331f9bf8d2e8f7a34a06594c7d
.data.stage3ce.va_003f4bf8	0x003f4bf8	0x8	stage3ce	initialized	0x1	75707c9c46de6955a7af35e37cb46c7a8ae03927d1755b6a41f693589229ff96	a6edc25f6b31adc3b02873639c194ddd32e1b4ffe02277e74095bde693cb3d21
.data.stage3f.history.va_003f4c00	0x003f4c00	0x8	historical-source-exact	initialized	0x1	eb327a6b469ad39e6a34e524c3598285ede0a48c4d208583506b03663913cd64	746acfa73fefa978007272a1780da461f40c2fabc509dd44870c83b3e6deafb3
.data.stage3ce.va_003fa628	0x003fa628	0x8	stage3ce	initialized	0x1	676d1d7cfeb4ce83d65cce4de0f92ca457b6d51f2f8d4d7bb4c7b97666dec46e	71a42f88c7a95513d0517cacba4f8063692650b315d1df82e9be44d5ff5c6329
.data.stage3f.history.va_003fa6c0	0x003fa6c0	0xc34	historical-source-exact	initialized	0x1	6e53624cb4814076155676ed7b1b95a0578f58a04ae242f789e2dad4565a94d8	12d15d99fb52fe1c5aa1a37674576ca5d3d1833b501c7acad76842461e9dd446
.data.stage3f.history.va_003fb2f8	0x003fb2f8	0xc0	historical-source-exact	initialized	0x1	5d89f056865052bcb89c910d2d62872e029fb273c3db03f8968a52a41593c1b5	02633f5ca367db41f1638ca2a9e82847f295d9706952744c9da2509edd7ca83c
.data.stage3f.history.va_003fb3b8	0x003fb3b8	0x10	historical-source-exact	initialized	0x1	374708fff7719dd5979ec875d56cd2286f6d3cf7ec317a3b25632aab28ec37bb	5abf2a2ad6fda7c04249adec0e12231974e15b09d2f4485cd69e8cdba92b58b6
.data.stage3f.history.va_003fb3c8	0x003fb3c8	0x60	historical-source-exact	initialized	0x1	2ea9ab9198d1638007400cd2c3bef1cc745b864b76011a0e1bc52180ac6452d4	d5dccbabb8c0184471795df1e9e28c0a99472948b7230ef71c94069d6e1eafc8
.data.stage3f.history.va_003fb428	0x003fb428	0xe0	historical-source-exact	initialized	0x1	6eb69e26de2a26eda48af77d4cec893aa0cf4748a64cbefcfe11a22c1e680ad9	5844c5ff44b1045ed07eaa7c4285b9fd2b54f138592868905959ed540e07fbc4
.data.stage3f.history.va_003fb508	0x003fb508	0x10670	historical-source-exact	initialized	0x1	42f27c903bd1b4e4bc4846d5e737d750d1145c9068753d0ed0a07e44e53bca1b	538f9fe207e31d86ff27fc1199e631c575a281eb11073e68fdbc88a6d17d52d7
.data.stage3f.history.va_0040bb78	0x0040bb78	0x8	historical-source-exact	initialized	0x1	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	90cad6c6094b467924c916c2ba791736fc1db9b02d142931594b180281d4896e
.data.stage3ce.va_00411010	0x00411010	0x400	stage3ce	initialized	0x1	cec16558f01d9c38aac963cd0e3c0d1cf4138cfb9208b2b18df3e54bb9e57415	df53325f644159cf66a48cf76f179818a4d706c91d8a875f6068b97a261d7b5a
.data.stage3f.va_004134ec	0x004134ec	0x4	stage3f-access	initialized	0x1	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	fac8574f02ce486ced165f7298de71fff51d274b21e65583090a113d803092c1
.data.stage3ce.va_004134f0	0x004134f0	0x4	stage3ce	initialized	0x1	2b5a4373eee79e72a748da2f2695ee1be1edae1a5cab3a054d6fee058cd78e8d	91f7ad72f62c7c25669b938747aeef12a6249361b0539c1ae3d2852a3d1a056e
.data.stage3f.va_004134f4	0x004134f4	0xd	stage3f-access	initialized	0x1	dd46c3eebb1884ff3b5258c0a2fc9398e560a29e0780d4b53869b6254aa46a96	3c38c256a5d225a94065e38a5bd8620ab8461c0e4d4029014ae4191c4cdb0ae1
.data.stage3f.va_00413504	0x00413504	0x10040	stage3f-access	initialized	0x1	5974c79b7b79dd7e17fc191ca5bec485686fbee0662eca3b27c34299619489fd	bf68ab2eacebb59c336a7370926c2e8c945cf8d7fa80da35c9782298293069fd
