address	name	area	source	profile	compiler	object_symbol	object_size	boundary	result	differing_bytes	raw_equal	normalized_equal	unknown_relocations
0x001057fc	snes_p16_001057fc	frontend-core	src/ps2/path_helpers_recovered.c	sdk-o2	ee-gcc-3.2.2-stage1-3.2.2	build_state_path_001057fc	156	exact-next-boundary	MATCH	0	False	True	
0x0010a8bc	snes_p11_0010a8bc	frontend	src/snes9x/apu_alloc_recovered.c	sdk-os	ee-gcc-3.2.2-stage1-3.2.2	apu_buffer_cleanup_0010a8bc	120	exact-next-boundary	MATCH	0	False	True	
0x00151330	per_rom_cleanup	memory	src/snes9x/memory_cleanup_recovered.c	sdk-o2	ee-gcc-3.2.2-stage1-3.2.2	rom_cleanup_00151330	48	exact-next-boundary	MATCH	0	False	True	
0x0018339c	snes_leaf_0018339c	address-leaf	src/ps2/address_leaf_recovered.c	sdk-o2	ee-gcc-3.2.2-stage1-3.2.2	snes_leaf_0018339c	8	exact-next-boundary	MATCH	0	True	True	
0x0018e2e0	huft_free	unzip	src/unzip/explode_recovered.c	sdk-o2	ee-gcc-3.2.2-stage1-3.2.2	huft_free_recovered	56	exact-next-boundary	MATCH	0	False	True	
0x0018f240	unzStringFileNameCompare	unzip	src/unzip/unzip_api_recovered.c	sdk-os	ee-gcc-3.2.2-stage1-3.2.2	unzStringFileNameCompare_recovered	60	exact-next-boundary	MATCH	0	False	True	
0x0018f638	unzGetGlobalInfo	unzip	src/unzip/unzip_api_recovered.c	sdk-o2	ee-gcc-3.2.2-stage1-3.2.2	unzGetGlobalInfo_recovered	28	exact-next-boundary	MATCH	0	True	True	
0x0018f654	unzlocal_DosDateToTmuDate	unzip	src/unzip/unzip_api_recovered.c	sdk-o2	ee-gcc-3.2.2-stage1-3.2.2	unzlocal_DosDateToTmuDate_recovered	120	exact-next-boundary	MATCH	0	True	True	
0x001907cc	compress	zlib	src/zlib/zlib_buffer_api_recovered.c	sdk-o2	ee-gcc-3.2.2-stage1-3.2.2	compress_recovered	28	exact-next-boundary	MATCH	0	False	True	
0x001908bc	deflateInit_	zlib	src/zlib/zlib_buffer_api_recovered.c	sdk-o2	ee-gcc-3.2.2-stage1-3.2.2	deflateInit__recovered	48	exact-next-boundary	MATCH	0	False	True	
0x00193564	gzopen	zlib	src/zlib/gzio_recovered.c	sdk-o2	ee-gcc-3.2.2-stage1-3.2.2	gzopen_00193564	28	exact-next-boundary	MATCH	0	False	True	
0x00193580	gzdopen	zlib	src/zlib/gzio_recovered.c	sdk-o2	ee-gcc-3.2.2-stage1-3.2.2	gzdopen_00193580	88	exact-next-boundary	MATCH	0	False	True	
0x001935d8	gzsetparams	zlib	src/zlib/gzio_recovered.c	sdk-o2-no-align-jumps	ee-gcc-3.2.2-stage1-3.2.2	gzsetparams_001935d8	156	exact-next-boundary	MATCH	0	False	True	
0x0019371c	check_header	zlib	src/zlib/gzio_recovered.c	sdk-os	ee-gcc-3.2.2-stage1-3.2.2	check_header_0019371c	504	exact-next-boundary	MATCH	0	False	True	
0x00193cd8	gzgetc	zlib	src/zlib/gzio_recovered.c	sdk-o2	ee-gcc-3.2.2-stage1-3.2.2	gzgetc_00193cd8	52	exact-next-boundary	MATCH	0	False	True	
0x00193d0c	gzgets	zlib	src/zlib/gzio_recovered.c	sdk-os	ee-gcc-3.2.2-stage1-3.2.2	gzgets_00193d0c	176	exact-next-boundary	MATCH	0	False	True	
