address	name	area	gate	source	profile	object_symbol	object_size	boundary
0x00199830	gsPipe_getPipeSize	gslib	screen2	src/ps2/gs_fifo_recovered.c	sdk-o2	gsPipe_getPipeSize_00199830	8	exact-next-boundary
0x00199848	gsPipe_ReInit	gslib	screen2	src/ps2/gspipe_recovered.c	sdk-o2	gsPipe_ReInit_00199848	76	jr-ra+nop-padding:0x4
0x00199898	gsPipe_getBytesLeft	gslib	screen2	src/ps2/gs_fifo_recovered.c	sdk-o2	gsPipe_getBytesLeft_00199898	28	object-layout-gap:0x4
0x001998b8	gsPipe_FlushCheck	gslib	screen2	src/ps2/gs_fifo_recovered.c	sdk-o2	gsPipe_FlushCheck_001998b8	64	exact-next-boundary
0x0019a580	gsPipe_setFilterMethod	gslib	screen2	src/ps2/gspipe_recovered.c	sdk-o2	gsPipe_setFilterMethod_0019a580	8	exact-next-boundary
0x0019bf00	CDVD_DiskReady	cdvd	screen2	matching/candidates/cdvd_rpc.c	sdk-os	CDVD_DiskReady	112	exact-next-boundary
0x0019c0d0	CDVD_Stop	cdvd	screen2	matching/candidates/cdvd_rpc.c	sdk-os	CDVD_Stop	88	exact-next-boundary
0x0019c128	CDVD_TrayReq	cdvd	screen2	matching/candidates/cdvd_rpc.c	sdk-os	CDVD_TrayReq	104	exact-next-boundary
0x0019c190	CDVD_getdir	cdvd	screen2	matching/candidates/cdvd_rpc.c	sdk-os	CDVD_getdir	284	exact-next-boundary
0x0019c2ac	CDVD_FlushCache	cdvd	screen2	matching/candidates/cdvd_rpc.c	sdk-os	CDVD_FlushCache	88	exact-next-boundary
0x0019c304	CDVD_GetSize	cdvd	screen2	matching/candidates/cdvd_rpc.c	sdk-os	CDVD_GetSize	96	exact-next-boundary
0x0019c688	SifBindRpc	sifrpc	screen2	src/ps2/sifrpc_recovered.c	sdk-os	SifBindRpc_0019c688	296	exact-next-boundary
0x0019c7b0	SifCallRpc	sifrpc	screen2	src/ps2/sifrpc_recovered.c	sdk-os	SifCallRpc_0019c7b0	432	exact-next-boundary
0x0019c960	rpc_packet_free	sifrpc	screen2	src/ps2/sifrpc_recovered.c	sdk-o2	rpc_packet_free_0019c960	24	exact-next-boundary
0x0019c978	_request_end	sifrpc	screen2	src/ps2/sifrpc_recovered.c	sdk-o2	request_end_0019c978	148	exact-next-boundary
0x0019ca0c	search_svdata	sifrpc	screen2	src/ps2/sifrpc_recovered.c	sdk-os	search_svdata_0019ca0c	72	exact-next-boundary
0x0019ca54	_request_bind	sifrpc	historical-per-object	historical PS2DEV per-object	hist-os	_request_bind	180	exact-next-boundary
0x0019cb08	_request_call	sifrpc	screen2	src/ps2/sifrpc_recovered.c	sdk-os	request_call_0019cb08	160	exact-next-boundary
0x0019cba8	_request_rdata	sifrpc	historical-per-object	historical PS2DEV per-object	hist-o2	_request_rdata	100	exact-next-boundary
0x0019cd4c	SifExitRpc	sifrpc	screen2	src/ps2/sifrpc_recovered.c	sdk-o2	SifExitRpc_0019cd4c	36	exact-next-boundary
0x0019cd70	_rpc_get_packet	sifrpc	historical-per-object	historical PS2DEV per-object	hist-os	_rpc_get_packet	188	exact-next-boundary
0x0019ce2c	_rpc_get_fpacket	sifrpc	screen2	src/ps2/sifrpc_recovered.c	sdk-os	rpc_get_fpacket_0019ce2c	48	jr-ra+nop-padding:0x4
0x0019cfc0	fioOpen	fileio	screen2	src/ps2/fileio_recovered.c	sdk-os	fioOpen_0019cfc0	208	exact-next-boundary
0x0019d090	fioClose	fileio	screen2	src/ps2/fileio_recovered.c	sdk-os	fioClose_0019d090	144	exact-next-boundary
0x0019d120	fioRead	fileio	screen2	src/ps2/fileio_recovered.c	sdk-os	fioRead_0019d120	292	exact-next-boundary
0x0019d360	fioLseek	fileio	screen2	src/ps2/fileio_recovered.c	sdk-os	fioLseek_0019d360	176	exact-next-boundary
