start	end_exclusive	bytes	source	source_sha256	proof
0x00195f1c	0x00195f24	8	analysis/functions/zlib_infcodes_0019533c.asm	5c2fc4e37ade7bf25f242c0869a29a9616fc2d2cee05858063247ed8ee71ff6a	bounded-contiguous-objdump-address-gap; inferred-word=0x00000000
0x00195f5c	0x00195f64	8	analysis/functions/zlib_infcodes_0019533c.asm	5c2fc4e37ade7bf25f242c0869a29a9616fc2d2cee05858063247ed8ee71ff6a	bounded-contiguous-objdump-address-gap; inferred-word=0x00000000
