address	name	area	provenance	source	profile	detail	object	object_symbol	object_size	boundary	result	differing_bytes	raw_equal	normalized_equal	unknown_relocations	object_sha256
0x00193e8c	gzprintf	zlib	zlib-1.1.3-gzerror-prototype-model-v19-prefix-05ed023a	/root/SNESstation-Decomp/build/matching/hunt500plusv19/source-variants/size-type-uint/gzio.c; semantic_variant=size-type-uint	prefix-05ed023a/size-type-uint/os	name-strict; demangled=gzprintf	build/matching/hunt500plusv19/objects/gzerror-surgery/prefix-05ed023a/size-type-uint/os/30773e3dfd2892c12c12.o	gzprintf	124	exact-next-boundary	MATCH	0	False	True		7523e0090983bbf8a735c2536616e91e684764da8df438f66661e28bf0fe54bf
0x00193f44	gzputs	zlib	zlib-1.1.3-gzerror-prototype-model-v19-prefix-05ed023a	/root/SNESstation-Decomp/build/matching/hunt500plusv19/source-variants/size-type-uint/gzio.c; semantic_variant=size-type-uint	prefix-05ed023a/size-type-uint/os	name-strict; demangled=gzputs	build/matching/hunt500plusv19/objects/gzerror-surgery/prefix-05ed023a/size-type-uint/os/30773e3dfd2892c12c12.o	gzputs	68	exact-next-boundary	MATCH	0	False	True		7523e0090983bbf8a735c2536616e91e684764da8df438f66661e28bf0fe54bf
0x0019450c	gzerror	zlib	zlib-1.1.3-gzerror-prototype-model-v19-prefix-05ed023a	/root/SNESstation-Decomp/build/matching/hunt500plusv19/source-variants/size-type-uint/gzio.c; semantic_variant=size-type-uint	prefix-05ed023a/size-type-uint/os	historical-prototype-model-strict; V19 historical strlen/size_t prototype model; exact gzerror equality	build/matching/hunt500plusv19/objects/gzerror-surgery/prefix-05ed023a/size-type-uint/os/30773e3dfd2892c12c12.o	gzerror	284	exact-next-boundary	MATCH	0	False	True		7523e0090983bbf8a735c2536616e91e684764da8df438f66661e28bf0fe54bf
