address	end_address	manifest_next	name	historical_identity	area	provenance	source	profile	detail	object	object_symbol	object_size	boundary	result	differing_bytes	raw_equal	normalized_equal	unknown_relocations	relocation_count	object_sha256	cache_key	target_gate	target_span_sha256
0x00114544	0x00114674	0x00114818	snes_p16_00114544	S9xLoadCheatFile	snes-core-dsp	snes9x-1.41-1-official-plus-snesstation-ps2-io	build/upstream/hunt1000plus-v47-snes/source-1.41-1/snes9x-1.41-1-src/snes9x/cheats2.cpp	snes9x-1.41-1-os-short-ps2-fio-cheats	historical-symbol-strict; historical-identity=S9xLoadCheatFile; io=fioOpen/fioRead/fioClose; terminal=jr-ra; next=S9xSaveCheatFile	build/matching/hunt1041-v73-historical-io/objects/cheats2.o	_Z16S9xLoadCheatFilePKc	304	terminal-control-flow-boundary	MATCH	0	False	True		8	054254fc67913c4d50b02765b214dc6f95feeb9a5d4bc98db6f61bbae645b3fa	a1eef6912528e9266ff67b6acdd77940aec2b76511dd1082b6e8359dc3621602	formal-unpacked-elf:739e058834564ba81c2d8fc61fd9977502e9714c7eaafdd3a4ce3ec546fad71b	5a0c72f83cad7ca411f73ddb552d5392f840d3e185ee754f073b6ec2504bdd94
0x001726ec	0x001728d4	0x001728d4	snes_p16_001726ec	S9xSPCDump	cpu-audio-runtime	snes9x-1.41-1-official-plus-snesstation-ps2-io	build/upstream/hunt1000plus-v47-snes/source-1.41-1/snes9x-1.41-1-src/snes9x/SNAPSHOT.CPP	snes9x-1.41-1-os-short-ps2-fio-spcdump	historical-symbol-strict; historical-identity=S9xSPCDump; io=PS2-fio; dsp-tail-seek=-128; write-result=one	build/matching/hunt1041-v73-historical-io/objects/snapshot.o	S9xSPCDump	488	exact-next-boundary	MATCH	0	False	True		33	4710534e16e26fb72962104eb976d7d0b2ddf3d40751cb8a5976968503100280	c6c5456c949ad9979720a37dd5b02e89b5b96b01a363b01ecf1c25929c70f176	formal-unpacked-elf:739e058834564ba81c2d8fc61fd9977502e9714c7eaafdd3a4ce3ec546fad71b	a850e4b3464d1f47f33d2a907b61addf958f463f3be28dfaf26520ae841f1470
