address	name	area	provenance	source	profile	detail	object	object_symbol	object_symbol_size	object_offset	object_size	boundary	result	differing_bytes	raw_equal	normalized_equal	unknown_relocations	object_sha256	cache_key	target_gate	target_span_sha256	target_sources
0x00183678	snes_dispatch_00183678	dispatch-leaf	snes9x-1.41-1-official	build/upstream/hunt1000plus-v47-snes/source-1.41-1/snes9x-1.41-1-src/snes9x/srtc.cpp	snes9x-1.41-1-os-short-ps2-int32-no-wall-clock	historical-symbol-strict; historical-identity=S9xHardResetSRTC; target-time=int32-at-0x14; wall-clock=zero; symbol-range=0x0..0x58; full-symbol-size=88; relocations=4	build/matching/hunt1041-v48-closure/historical/snes-srtc.o	_Z16S9xHardResetSRTCv	88	0	88	exact-next-boundary	MATCH	0	False	True		9f6ad0b286e679239af9662ccbf761605f673045777c92b917d32389349b9d5c	dcf45d86947916efdc7ea12cd9bf7890ad04b093771e7cd6f2f9a5d6b6a6eafe	committed-objdump-listings+bounded-zero-gaps	5f7fc4d4d1af73a905c3108403b14526403e70be2fe64fd7269f1d66918f2283	analysis/functions/tile_init_and_helpers_00183000.asm
0x001837cc	snes_p17_001837cc	cpu-audio-runtime	snes9x-1.41-1-official	build/upstream/hunt1000plus-v47-snes/source-1.41-1/snes9x-1.41-1-src/snes9x/srtc.cpp	snes9x-1.41-1-os-short-ps2-int32-no-wall-clock	historical-symbol-strict; target-time=int32-at-0x14; wall-clock=zero; symbol-range=0x0..0x2d8; full-symbol-size=728; relocations=14	build/matching/hunt1041-v48-closure/historical/snes-srtc.o	_Z17S9xUpdateSrtcTimev	728	0	728	exact-next-boundary	MATCH	0	False	True		9f6ad0b286e679239af9662ccbf761605f673045777c92b917d32389349b9d5c	dcf45d86947916efdc7ea12cd9bf7890ad04b093771e7cd6f2f9a5d6b6a6eafe	committed-objdump-listings+bounded-zero-gaps	2abfa37d49dec19c7c54b6e0e057f8fd34e6defc09c0b5641adca05aa04e800b	analysis/functions/tile_init_and_helpers_00183000.asm
0x00183aa4	snes_p16_00183aa4	cpu-audio-runtime	snes9x-1.41-1-official	build/upstream/hunt1000plus-v47-snes/source-1.41-1/snes9x-1.41-1-src/snes9x/srtc.cpp	snes9x-1.41-1-os-short-ps2-int32-no-wall-clock	historical-symbol-strict; target-time=int32-at-0x14; wall-clock=zero; symbol-range=0x0..0x138; full-symbol-size=312; relocations=9	build/matching/hunt1041-v48-closure/historical/snes-srtc.o	_Z10S9xSetSRTCht	312	0	312	exact-next-boundary	MATCH	0	False	True		9f6ad0b286e679239af9662ccbf761605f673045777c92b917d32389349b9d5c	dcf45d86947916efdc7ea12cd9bf7890ad04b093771e7cd6f2f9a5d6b6a6eafe	committed-objdump-listings+bounded-zero-gaps	cfe5a15a0b4867fc8e13a28f04b9a963e6c57e933ed9135725daac8fb0ccf726	analysis/functions/tile_init_and_helpers_00183000.asm
0x00183c58	snes_p12_00183c58	state-transfer	snes9x-1.41-1-official	build/upstream/hunt1000plus-v47-snes/source-1.41-1/snes9x-1.41-1-src/snes9x/srtc.cpp	snes9x-1.41-1-os-short-ps2-int32-no-wall-clock	historical-symbol-strict; target-time=int32-at-0x14; fixed-copy=8; symbol-range=0x0..0xe8; full-symbol-size=232; relocations=17	build/matching/hunt1041-v48-closure/historical/snes-srtc.o	_Z19S9xSRTCPreSaveStatev	232	0	232	exact-next-boundary	MATCH	0	False	True		9f6ad0b286e679239af9662ccbf761605f673045777c92b917d32389349b9d5c	dcf45d86947916efdc7ea12cd9bf7890ad04b093771e7cd6f2f9a5d6b6a6eafe	committed-objdump-listings+bounded-zero-gaps	6549c0c19d19b3cacaf8322e30ca8f2df5f9a78322904fab36cf819434f96e14	analysis/functions/progress12_targets.asm;analysis/functions/tile_init_and_helpers_00183000.asm
0x00183d40	snes_p12_00183d40	state-transfer	snes9x-1.41-1-official	build/upstream/hunt1000plus-v47-snes/source-1.41-1/snes9x-1.41-1-src/snes9x/srtc.cpp	snes9x-1.41-1-os-short-ps2-int32-no-wall-clock	historical-symbol-strict; target-time=int32-at-0x14; fixed-copy=8; symbol-range=0x0..0xc4; full-symbol-size=196; relocations=13	build/matching/hunt1041-v48-closure/historical/snes-srtc.o	_Z20S9xSRTCPostLoadStatev	196	0	196	exact-next-boundary	MATCH	0	False	True		9f6ad0b286e679239af9662ccbf761605f673045777c92b917d32389349b9d5c	dcf45d86947916efdc7ea12cd9bf7890ad04b093771e7cd6f2f9a5d6b6a6eafe	committed-objdump-listings+bounded-zero-gaps	45a4f4749de4c2eff3cd685bd00f065381ffbbe3cb642f6a25ed18b87b806ed4	analysis/functions/progress12_targets.asm;analysis/functions/tile_converter_00183e04.asm;analysis/functions/tile_init_and_helpers_00183000.asm
0x0018ea58	snes_p16_0018ea58	legacy-zip-zlib	pgen-403f1710	build/upstream/pgen-403f1710/unzip/unshrink.c	pgen-os-unshrink	historical-symbol-slice-strict; symbol-range=0x0..0xc; full-symbol-size=1116; relocations=2	build/matching/hunt1041-v48-closure/historical/pgen-unshrink.o	unShrink	1116	0	12	exact-next-boundary	MATCH	0	False	True		2dafd482dd44027c7def69d5161ae86d3ad64bb4dcd378987c0a3e9750bf590c	057ac9c8d7b5d63e911ccc1490cdbff84c295bbaf3e68b1a1b1e648c5022a522	committed-objdump-listings+bounded-zero-gaps	a87c5ecf2a84fb593d260735a3926200058b5bddd611d9409effdc88702d0311	analysis/functions/unreduce_0018e4c0.asm
0x0018ea64	unShrink	unzip	pgen-403f1710	build/upstream/pgen-403f1710/unzip/unshrink.c	pgen-os-unshrink	historical-symbol-slice-strict; symbol-range=0xc..0x45c; full-symbol-size=1116; relocations=112	build/matching/hunt1041-v48-closure/historical/pgen-unshrink.o	unShrink	1116	12	1104	exact-next-boundary	MATCH	0	False	True		2dafd482dd44027c7def69d5161ae86d3ad64bb4dcd378987c0a3e9750bf590c	057ac9c8d7b5d63e911ccc1490cdbff84c295bbaf3e68b1a1b1e648c5022a522	committed-objdump-listings+bounded-zero-gaps	839bdfe0c9c934d17d4dfd6fb3efa15d4502af0e2e86367d74d1e677c0b3b025	analysis/functions/unshrink_0018ea64.asm
0x0018faa4	snes_dispatch_0018faa4	dispatch-leaf	pgen-403f1710	build/upstream/pgen-403f1710/unzip/unzip.c	pgen-os-unzip	historical-symbol-slice-strict; symbol-range=0x0..0x10; full-symbol-size=72; relocations=0	build/matching/hunt1041-v48-closure/historical/pgen-unzip.o	unzGetCurrentFileInfo	72	0	16	exact-next-boundary	MATCH	0	True	True		01b6abedfa6d0d6f0f7b6e102c72c526c28e18604c90906aaf714bb32894842b	0d44155db47b94dfe6e5dd74719f64bc6ea25b34696ceba7d75e6a85a9a04a44	committed-objdump-listings+bounded-zero-gaps	ffd576b76a05666c27278b9ae52e559140e68ed04866a4fe3586da8f44da90cb	analysis/functions/unzip_api_0018f010.asm
0x0018fab4	unzGetCurrentFileInfo	unzip	pgen-403f1710	build/upstream/pgen-403f1710/unzip/unzip.c	pgen-os-unzip	historical-symbol-slice-strict; symbol-range=0x10..0x48; full-symbol-size=72; relocations=1	build/matching/hunt1041-v48-closure/historical/pgen-unzip.o	unzGetCurrentFileInfo	72	16	56	exact-next-boundary	MATCH	0	False	True		01b6abedfa6d0d6f0f7b6e102c72c526c28e18604c90906aaf714bb32894842b	0d44155db47b94dfe6e5dd74719f64bc6ea25b34696ceba7d75e6a85a9a04a44	committed-objdump-listings+bounded-zero-gaps	45324ee50574720197a86623b3cfcad0c704e81514ab1b25a79e92e4a5b3a7ad	analysis/functions/unzip_api_0018f010.asm
0x00193a34	gzread	zlib	pgen-403f1710	build/upstream/pgen-403f1710/zlib/gzio.c	pgen-os-int-strlen-int-memcpy	historical-symbol-strict; abi=32-bit-memcpy-length; symbol-range=0x0..0x2a4; full-symbol-size=676; relocations=14	build/matching/hunt1041-v48-closure/historical/pgen-gzio.o	gzread	676	0	676	exact-next-boundary	MATCH	0	False	True		218db4f4d236bf9075179e8e7408f9ed82d8840542e589fe475c8dbf85ad8347	b151248823a2c0ba20d12c53bc14240887e0ac8ab610fdd0f1c89cc64f8bcd26	committed-objdump-listings+bounded-zero-gaps	a5f76aa6773514504bae03d2ee77d030ee624f021aacbc60b64ba9df18d1fb4c	analysis/functions/zlib_gzio_00193298.asm
0x00195b3c	snes_p16_00195b3c	legacy-zip-zlib	pgen-403f1710	build/upstream/pgen-403f1710/zlib/inffast.c	pgen-os-inffast	historical-symbol-slice-strict; symbol-range=0x0..0x4; full-symbol-size=1092; relocations=0	build/matching/hunt1041-v48-closure/historical/pgen-inffast.o	inflate_fast	1092	0	4	exact-next-boundary	MATCH	0	True	True		9cc41f834c5a67527984b9d46670f56b8f4e50ad5ecbdb921be66d8014695109	9c140d2523359fb37c30d199ca5c633a7be16a86087256889d26a11e75af33e4	committed-objdump-listings+bounded-zero-gaps	b9783f7b0d873c0c606d5d5e937b78a87647832847fac6495769044bea4fbf78	analysis/functions/zlib_infcodes_0019533c.asm
0x00195b40	inflate_fast	zlib	pgen-403f1710	build/upstream/pgen-403f1710/zlib/inffast.c	pgen-os-inffast	historical-symbol-slice-strict; symbol-range=0x4..0x444; full-symbol-size=1092; relocations=16	build/matching/hunt1041-v48-closure/historical/pgen-inffast.o	inflate_fast	1092	4	1088	exact-next-boundary	MATCH	0	False	True		9cc41f834c5a67527984b9d46670f56b8f4e50ad5ecbdb921be66d8014695109	9c140d2523359fb37c30d199ca5c633a7be16a86087256889d26a11e75af33e4	committed-objdump-listings+bounded-zero-gaps	b2f20dc3556a2f8a19109390775c4112fbba860f7bcfed1a224a8db932439fda	analysis/functions/zlib_infcodes_0019533c.asm;analysis/functions/zlib_infcodes_0019533c.asm#bounded-zero-gap
0x0019d558	fioGets	fileio	snesstation-v0.23-recovered	src/ps2/fileio_recovered.c	os	recovered-source-strict; historical-identity=fioGets; symbol-range=0x0..0xa8; full-symbol-size=168; relocations=3	build/matching/hunt1041-v48-closure/recovered/objects/os/src_ps2_fileio_recovered.c-d3cd6af8bdd6fd17.o	fioGets_0019d558	168	0	168	exact-next-boundary	MATCH	0	False	True		9987227e7bb99dec1ca1310d5abfe7b4674ebdd2524dda8eee468e67b7f2bd70	d3cd6af8bdd6fd171c822207263f7f9e835ecb0de4942fc0404d0dec8ed0ace4	committed-objdump-listings+bounded-zero-gaps	6e2934ef2e5f95dee831350f9e9a4c6c302ac8b164b0f0d4bd9a8c0967d227e2	analysis/functions/fileio_0019cfc0.asm
0x001a086c	mcStoreDir	libmc	ps2sdk-694100b	build/upstream/ps2sdk-20040415/ee/rpc/memorycard/src/libmc.c	ps2lib-20040415-os-tu	historical-symbol-strict; corrected-entry=0x001a086c; symbol-range=0x0..0x80; full-symbol-size=128; relocations=5	build/matching/hunt1041-v48-closure/historical/ps2lib-libmc.o	mcStoreDir	128	0	128	exact-next-boundary	MATCH	0	False	True		62adef4d9147fee54694ddd925b170d90336537996d2b798da821c17c80a1fc0	ee20a8f2c7e7297368ae4ce41c692b8bb403673b4b72cee862d7325bb80c973c	committed-objdump-listings+bounded-zero-gaps	2097b0c3dcaf5fa13588de09bae85f056a7d61cc963948aac4902c79819dd101	analysis/functions/libmc_frontier_001a0740.asm;analysis/functions/math_frontier_0019fddc.asm
0x001abc28	S9xGetWord	memory	snes9x-1.41-1-official	build/upstream/hunt1000plus-v47-snes/source-1.41-1/snes9x-1.41-1-src/snes9x/MEMMAP.CPP	snes9x-1.41-1-os-short-fast-lsb-target-access	historical-symbol-strict; target-access=packed-unaligned-u32-low16; symbol-range=0x0..0x3fc; full-symbol-size=1020; relocations=62	build/matching/hunt1041-v48-closure/historical/snes-memmap.o	_Z10S9xGetWordj	1020	0	1020	exact-next-boundary	MATCH	0	False	True		57623d9927c5ec869bd4ae3feaef5ecf1e4b4a29113e2f6225b87e81ab2c6fd2	0b90a6327c2b5cf336352049674fbba5479d9cdc5c5fa8a5fe6effa1c8b377e9	committed-objdump-listings+bounded-zero-gaps	e393368e0df658e8333da330423a915667285db979415ea7d8e6d41ab252e32d	analysis/functions/core_getset_apumem_001ab3c0.asm
