address	name	area	provenance	source	profile	detail	object	object_symbol	object_size	boundary	result	differing_bytes	raw_equal	normalized_equal	unknown_relocations	object_sha256	cache_key	target_gate	target_span_sha256
0x00101890	snes_dispatch_00101890	dispatch-leaf	snesstation-v0.23-recovered	src/ps2/small_dispatch_recovered.c	ee-gcc-3.2.2-o2	recovered-source-strict; corrected-identity=S9xOpenSnapshotFile	build/matching/hunt1041-v51-closure/local/small-o2.o	snes_dispatch_00101890	80	exact-next-boundary	MATCH	0	False	True		60a67c73be7231be0b54f156df79cc7e41eaf8ebe115bd5387d2a075e4c947fc	f1edbec35d0244de446410d2fd3bc6f1177ebefcac3bdc4178718988b033a4b7	formal-unpacked-elf:739e058834564ba81c2d8fc61fd9977502e9714c7eaafdd3a4ce3ec546fad71b	e2bd8007c5c52f5d57e7369e168088b79ee0d4b9f7d4a826a7eb9bc59761aa1a
0x00103cd4	snes_p16_00103cd4	frontend-core	snesstation-v0.23-recovered	src/ps2/progress21_small_helpers_recovered.c	ee-gcc-3.2.2-os	recovered-source-strict; identity=toc-display-name-normalizer	build/matching/hunt1041-v51-closure/local/p21-os.o	snes_p21_00103cd4	188	exact-next-boundary	MATCH	0	False	True		5d0d61d9d94cf4f62a7fbf817e200bcb50c8ab494a32951047dc49d3fb6d1b2e	543f590605b894220d975064c88f0a4fc781fd452175914162f5d4fbb68bae1c	formal-unpacked-elf:739e058834564ba81c2d8fc61fd9977502e9714c7eaafdd3a4ce3ec546fad71b	ec4056e74743ac48836679d6085a3c1f6c14144903e7c63e7abb9e989ced75ff
0x00106c08	snes_p16_00106c08	frontend-core	snesstation-v0.23-recovered	src/ps2/progress21_small_helpers_recovered.c	ee-gcc-3.2.2-o2	recovered-source-strict; identity=save-state-slot-parser	build/matching/hunt1041-v51-closure/local/p21-o2.o	snes_p21_00106c08	152	exact-next-boundary	MATCH	0	False	True		81d5338da05e6d87543baf83b6a80775fe983494db4f8d021370b1ada0a6130d	a5f8a70d4f7c547f77d6a26c115f551c9d98cf5da5817221113c4e1e3db2c1e3	formal-unpacked-elf:739e058834564ba81c2d8fc61fd9977502e9714c7eaafdd3a4ce3ec546fad71b	5743f1dc142c93db01ebe40236702518a8a441128c6d33b7f9f97b07a2339b3b
0x00107b7c	amigaModPause_00107b7c	audio-rpc	pgen-403f1710-snesstation-delta	matching/candidates/hunt1041_v51_amigamod.c	pgen-os-snesstation-delta	historical-source-variant-strict; corrected-identity=amigaModInit; delta=u128-buffer-copy	build/matching/hunt1041-v51-closure/candidate/amigamod-os.o	amigaModInit	232	exact-next-boundary	MATCH	0	False	True		a33c7d006926630fa5fd9a39366e8c091afd414ab4fef266f12eeb52c0eca432	00e33404391c264eea362a285e1d3ba50c7dc9116746e302e1baaa81627baedc	formal-unpacked-elf:739e058834564ba81c2d8fc61fd9977502e9714c7eaafdd3a4ce3ec546fad71b	484cd06bb030811c20f59e6cfad3b1b837f1af1bdce1f4ccdb681cc41aa89585
0x00107c64	amigaModLoad_00107c64	audio-rpc	pgen-403f1710-snesstation-delta	matching/candidates/hunt1041_v51_amigamod.c	pgen-os-snesstation-delta	historical-source-variant-strict; identity=amigaModLoad; delta=caller-owned-iop-heap-init	build/matching/hunt1041-v51-closure/candidate/amigamod-os.o	amigaModLoad	224	exact-next-boundary	MATCH	0	False	True		a33c7d006926630fa5fd9a39366e8c091afd414ab4fef266f12eeb52c0eca432	00e33404391c264eea362a285e1d3ba50c7dc9116746e302e1baaa81627baedc	formal-unpacked-elf:739e058834564ba81c2d8fc61fd9977502e9714c7eaafdd3a4ce3ec546fad71b	97e47c87834de7e2a4668e2937f279f48e2275392981f013445d6384f339a556
0x0012bf5c	snes_p16_0012bf5c	snes-core-dsp	snes9x-1.41-1-ps2-float-variant	matching/candidates/hunt1041_v51_dsp.c	snes9x-1.41-1-o2-normal-double-ps2-float	historical-source-variant-strict; corrected-identity=Atan-float	build/matching/hunt1041-v51-closure/candidate/dsp-o2.o	snes_p28_0012bf5c	208	exact-next-boundary	MATCH	0	False	True		d3b5813032d7e1f1e10934bcbe194afa11ccebfeedc14c8c87c3fd88ec38d642	48da7b5b8292e775970c4c89e23f19cc25914baead6d1b5bff9893ef008f7041	formal-unpacked-elf:739e058834564ba81c2d8fc61fd9977502e9714c7eaafdd3a4ce3ec546fad71b	ac7d64687bffe8e4865e1f0c45fabc1b82ca6c9ec68e27bf9a2809a8e722df56
0x0012c02c	snes_p16_0012c02c	snes-core-dsp	snes9x-1.41-1-ps2-float-variant	matching/candidates/hunt1041_v51_dsp.c	snes9x-1.41-1-os-normal-double-ps2-float	historical-source-variant-strict; corrected-identity=InitDSP	build/matching/hunt1041-v51-closure/candidate/dsp-os.o	snes_p26_0012c02c	272	exact-next-boundary	MATCH	0	False	True		349dc9aed6ec7828219c56445cb905893a8748ca62c744af3419581ae2b52ae0	e963163f2f3b973a9f460eda1588495f2ac7199ebabe8ae3b9836e10a8cff108	formal-unpacked-elf:739e058834564ba81c2d8fc61fd9977502e9714c7eaafdd3a4ce3ec546fad71b	be74a18720317a6ffb3ecc3cdfa0677e896e13a217946bc28aeddcff54547858
0x00150b1c	ForceInterleave1OverrideSnes9x	memory-ppu	snes9x-1.41-1-ps2-settings-layout	build/upstream/hunt1000plus-v47-snes/source-1.41-1/snes9x-1.41-1-src/snes9x/MEMMAP.CPP	snes9x-1.41-1-os-short-fast-lsb-ps2-settings-layout	historical-symbol-strict; target-layout-slot=pre-game-fixes-bool8	build/matching/hunt1041-v51-closure/historical/memmap.o	_Z30ForceInterleave1OverrideSnes9xi	372	exact-next-boundary	MATCH	0	False	True		28f7a55df281cc777956a55a5dd3f2b5971dfbb8acbf0643112624b178526d0f	6f3352df7eb6e7da7bc09c64bfe802f5d5f9c30d506f84bb4329c9dd9059b1e6	formal-unpacked-elf:739e058834564ba81c2d8fc61fd9977502e9714c7eaafdd3a4ce3ec546fad71b	c138b246389943c67661e8d99dbc20a765e4b664a90b125e785ae8ee90d01f35
0x001520b8	snes_p16_001520b8	memory-ppu	snes9x-1.41-1-ps2-settings-layout	build/upstream/hunt1000plus-v47-snes/source-1.41-1/snes9x-1.41-1-src/snes9x/MEMMAP.CPP	snes9x-1.41-1-os-short-fast-lsb-ps2-settings-layout	historical-symbol-strict; corrected-identity=S9xDeinterleaveMode2	build/matching/hunt1041-v51-closure/historical/memmap.o	S9xDeinterleaveMode2	544	exact-next-boundary	MATCH	0	False	True		28f7a55df281cc777956a55a5dd3f2b5971dfbb8acbf0643112624b178526d0f	6f3352df7eb6e7da7bc09c64bfe802f5d5f9c30d506f84bb4329c9dd9059b1e6	formal-unpacked-elf:739e058834564ba81c2d8fc61fd9977502e9714c7eaafdd3a4ce3ec546fad71b	2cef082042d2e4140084afade3d05d1190c4a2e2829e0ff786b9c0e4cf5a3457
0x001541e0	CMemory_HiROMMap	memory-ppu	snes9x-1.41-1-ps2-settings-layout	build/upstream/hunt1000plus-v47-snes/source-1.41-1/snes9x-1.41-1-src/snes9x/MEMMAP.CPP	snes9x-1.41-1-os-short-fast-lsb-ps2-settings-layout	historical-symbol-strict; identity=CMemory::HiROMMap	build/matching/hunt1041-v51-closure/historical/memmap.o	_ZN7CMemory8HiROMMapEv	940	exact-next-boundary	MATCH	0	False	True		28f7a55df281cc777956a55a5dd3f2b5971dfbb8acbf0643112624b178526d0f	6f3352df7eb6e7da7bc09c64bfe802f5d5f9c30d506f84bb4329c9dd9059b1e6	formal-unpacked-elf:739e058834564ba81c2d8fc61fd9977502e9714c7eaafdd3a4ce3ec546fad71b	6fab244a1444315cfef6a995dfe53edf34cb35089766a947255635ee2eadc17b
